genres,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,duration_mins
afro psych,0.0766,0.5840000000000001,0.7705,0.21745,0.17600000000000002,-10.408,0.04985,118.6075,0.8315,0.325,2,1,6.73
afro-funk,0.14494583333333336,0.800125,0.7191666666666666,0.06849547500000001,0.09720000000000002,-8.909562499999998,0.09601875,114.04895833333336,0.8764583333333333,0.2666666666666667,0,1,4.75
afrobeat,0.3636704387352829,0.6240531063002043,0.622326145725854,0.3323994815861146,0.15006096770554886,-9.986289221191086,0.06052683079255102,115.62417247013045,0.7062193499168361,0.3889801892974278,0,1,5.28
afrofuturism,0.2268386107264237,0.6469474807185046,0.620990134734412,0.09569460084630846,0.17611393452088414,-9.161819927196351,0.13449099386719549,113.22402368619295,0.5364044978749355,0.47272618024495344,7,1,4.65
afrofuturismo brasileiro,0.626,0.484,0.81,0.000283,0.11,-4.579,0.0377,144.454,0.42200000000000004,0.36,7,0,4.12
afropop,0.4504543790691591,0.6260766673463062,0.5427874940928071,0.146607196638734,0.18653335189124415,-10.700189624666256,0.08090713331671398,117.18791208117315,0.6376393656772741,0.3259655602106132,7,1,5.18
afroswing,0.17133333333333334,0.7583333333333333,0.512,3.2733333333333334e-05,0.10103333333333336,-7.562666666666668,0.21100000000000002,102.061,0.4803333333333333,0.7533333333333333,11,0,3.15
aggrotech,0.08059039784226191,0.5674607142857142,0.9058836309523808,0.4677446085714285,0.2267956398809524,-6.373296577380952,0.04837081845238096,130.78911220238095,0.5250983928571428,0.06213839285714287,0,1,4.66
alabama indie,0.2370620555555556,0.5468333333333333,0.6545555555555556,0.11491660000000002,0.11942222222222222,-8.685277777777777,0.04612777777777779,113.29711111111112,0.5263888888888889,0.43777777777777777,7,1,3.96
alabama metal,0.002748,0.4065,0.8659999999999999,1.105e-06,0.1406,-3.6660000000000004,0.0741,110.375,0.446,0.495,6,1,3.33
alabama rap,0.12131133620365145,0.7000376670431019,0.6200655467720685,0.0005654347680218334,0.1811206262939959,-6.429681959345003,0.19510399962356487,116.44768047713157,0.4866425654056089,0.5656853472614343,11,1,3.75
alaska indie,0.0473,0.81,0.353,0.00010400000000000001,0.08199999999999999,-9.536,0.0437,124.991,0.731,0.67,6,1,2.92
albanian hip hop,0.00829,0.7829999999999999,0.765,0.894,0.11199999999999999,-9.47,0.0433,135.997,0.44799999999999995,0.0,2,0,7.8
albanian pop,0.0028699999999999997,0.6829999999999999,0.665,0.0,0.0839,-8.405,0.0499,127.96799999999999,0.667,0.46,8,0,3.12
alberta country,0.3322893333333333,0.5781666666666667,0.6511066666666666,1.248e-05,0.20589533333333326,-6.783666666666668,0.05547066666666667,116.74013333333332,0.6055266666666668,0.4768,7,1,3.39
alberta hip hop,0.33,0.885,0.685,0.0,0.14800000000000002,-6.428999999999999,0.0627,99.954,0.937,0.745,11,0,2.4
album rock,0.1814198081602708,0.517313759501858,0.6599170796442037,0.08319940315207304,0.21251749256105365,-9.865572724990935,0.056449728002917615,124.4014408377405,0.5481335548793804,0.35423908109130364,9,1,4.49
albuquerque indie,0.3807330606060607,0.5271010101010102,0.5816212121212121,0.019269433939393944,0.18266060606060608,-8.571176767676768,0.034904545454545466,125.9691212121212,0.5317727272727272,0.5296464646464646,9,1,3.93
alternative americana,0.5342916666666667,0.5069583333333334,0.38078333333333336,0.08256642749999997,0.09749833333333333,-10.717891666666667,0.046413333333333334,109.81213333333332,0.4249750000000001,0.5169166666666666,7,1,4.1
alternative country,0.3839083744575907,0.5383201929981053,0.5260491924927758,0.044745096074629474,0.1760324013256201,-10.418042555536069,0.047052720770254346,122.54961994944316,0.5192240663267409,0.37090957489466064,7,1,4.07
alternative dance,0.14654110202661044,0.6017865233057882,0.73155088919763,0.21456187836984567,0.196883709863244,-6.674359009317633,0.05753967367451441,126.27738262139098,0.5430395942006766,0.47300274501555634,2,1,4.4
alternative emo,0.10284895360851762,0.4722370051870052,0.7370040404040406,0.04885034382132132,0.16273906360906362,-6.7000399672399675,0.06569241195741198,125.29523218673219,0.4381421294021294,0.4672919737919737,4,1,3.74
alternative hip hop,0.1832438035416188,0.7026194120191069,0.6923471603304494,0.044253819042628616,0.24249493930767635,-7.612771298403577,0.2469667334922256,108.35572031941727,0.6111800837288888,0.4496623677527938,11,1,4.05
alternative metal,0.07062541590832101,0.4621667074062332,0.816150327872639,0.11327306622274512,0.20216363665205295,-6.1160132415793225,0.07940753550210135,125.32924474998173,0.4125773534366277,0.4511373918395733,2,1,4.12
alternative pop,0.09236595378354054,0.4505448254328548,0.7820746170390922,0.18596861315458688,0.16866960477540438,-8.536531687478222,0.052078498792216016,131.42663766462945,0.5694963167775826,0.3734490355742727,7,1,3.57
alternative pop rock,0.1683781224489796,0.6567687074829932,0.6516292517006803,0.123666815,0.14161972789115645,-5.0958367346938775,0.0864357142857143,135.48081292517006,0.6253095238095238,0.5361224489795917,7,1,3.62
